,city,cloudiness,country,humidity,latitude,temperature,wind speed
118,meulaboh,32,ID,100,4.14,76.31,4.83
119,riberalta,75,BO,70,-11.0,86.0,2.59
120,poum,0,MK,69,41.28,7.01,2.26
121,noumea,20,NC,45,-22.28,86.0,8.05
122,lagoa,20,PT,87,37.14,48.2,3.36
123,chokurdakh,8,RU,0,70.62,-43.08,3.27
124,san patricio,36,PY,97,-26.98,76.67,2.26
125,floro,88,NO,86,61.6,37.4,10.29
126,atuona,44,PF,100,-9.8,80.77,18.03
127,caravelas,36,BR,100,-17.73,80.68,14.9
128,saint george,20,GR,40,39.45,33.8,11.41
129,rawannawi,20,GR,40,39.45,33.8,11.41
130,yenagoa,0,NG,91,4.92,76.27,5.39
131,tadine,92,NC,97,-21.55,78.11,16.02
132,tonantins,44,BR,93,-2.86,77.26,2.26
133,nouadhibou,80,MR,59,20.93,64.4,12.75
134,san andres,0,PH,100,13.32,78.74,20.04
135,zachagansk,0,PH,100,13.32,78.74,20.04
136,pirapemas,68,BR,97,-3.73,74.02,7.07
137,barrow,0,AR,43,-38.31,78.79,10.09
138,iqaluit,90,CA,76,63.75,-4.01,4.7
139,vilela,75,PT,93,41.66,50.0,8.05
140,upernavik,68,GL,100,72.79,-6.18,10.42
141,sazonovo,56,RU,88,54.2,18.26,6.96
142,ostersund,0,SE,92,63.18,15.8,4.7
143,kandrian,0,PG,79,-6.21,85.45,2.71
144,male,76,UA,92,50.74,24.34,10.42
145,mizan teferi,44,ET,67,6.99,60.88,2.15
146,luganville,76,VU,100,-15.51,82.61,7.96
147,nikolskoye,75,RU,85,59.7,24.8,4.47
148,aklavik,90,CA,68,68.22,-13.01,10.29
149,nemuro,20,JP,68,43.32,26.6,6.93
150,hilo,40,US,50,19.71,78.98,9.17
151,cayhagan,20,PH,95,9.67,78.16,14.67
152,tuatapere,92,NZ,71,-46.13,66.19,6.06
153,srivardhan,0,IN,90,18.03,64.52,2.93
154,diamantino,8,BR,84,-14.4,78.97,2.71
155,fort nelson,92,CA,76,58.81,-0.73,3.04
156,bonthe,0,SL,79,7.53,80.95,6.62
157,aberystwyth,92,GB,96,52.41,47.42,15.12
158,vaitape,88,PF,97,-16.52,84.41,13.67
159,mys shmidta,88,PF,97,-16.52,84.41,13.67
160,lorengau,48,PG,98,-2.02,83.74,10.65
161,shenjiamen,92,CN,100,29.96,45.58,20.83
162,bethel,90,US,78,60.79,37.94,10.29
163,mahebourg,40,MU,78,-20.41,78.8,3.36
164,zlatoustovsk,40,MU,78,-20.41,78.8,3.36
165,orlik,0,RU,36,52.51,-28.63,2.15
166,vagur,92,FO,100,61.47,40.72,12.66
167,paracuru,75,BR,83,-3.41,80.6,5.82
168,quthing,8,LS,98,-30.4,50.89,2.15
169,bowen,75,AU,65,-20.01,82.4,14.99
170,namibe,88,AO,100,-15.19,72.26,8.75
171,ugoofaaru,12,MV,100,5.67,81.71,9.53
172,charagua,75,BO,54,-19.79,84.2,4.7
173,nuuk,90,GL,85,64.17,23.0,23.04
174,illoqqortoormiut,90,GL,85,64.17,23.0,23.04
175,bandarbeyla,92,SO,100,9.49,74.42,9.98
176,ciudad bolivar,32,VE,47,8.12,85.94,14.23
177,saskylakh,8,RU,66,71.97,-35.25,16.02
178,mildura,0,AU,16,-34.18,95.0,2.24
179,bredasdorp,80,ZA,73,-34.53,69.8,12.75
180,ribeira grande,0,PT,97,38.52,62.05,7.52
181,kavieng,44,PG,100,-2.57,84.59,10.65
182,hithadhoo,32,MV,100,-0.6,80.27,1.7
183,piacabucu,24,BR,88,-10.41,74.56,5.73
184,umm durman,24,BR,88,-10.41,74.56,5.73
185,saint-philippe,90,CA,92,45.36,24.8,4.7
186,dunedin,20,NZ,83,-45.87,69.7,4.05
187,altonia,20,NZ,83,-45.87,69.7,4.05
188,barentsburg,20,NZ,83,-45.87,69.7,4.05
189,puteyets,80,RU,85,65.17,16.64,6.4
190,boa vista,40,BR,48,2.82,87.8,8.05
191,east london,88,ZA,100,-33.02,72.85,4.61
192,la ronge,40,CA,69,55.1,-11.21,2.24
193,voh,8,NC,98,-20.95,78.52,12.66
194,coari,20,BR,94,-4.09,78.34,3.38
195,vao,92,EE,86,59.1,24.34,10.2
196,marsa matruh,20,EG,71,31.35,53.6,17.22
197,kamenskoye,20,EG,71,31.35,53.6,17.22
198,luderitz,0,NA,57,-26.65,67.0,19.71
199,nalut,0,LY,84,31.86,37.07,5.95
200,barranca,20,PE,98,-10.75,71.86,14.67
201,tamazulapam,20,PE,98,-10.75,71.86,14.67
202,longyearbyen,20,NO,70,78.22,1.4,4.7
203,provideniya,90,RU,94,64.42,32.0,17.9
204,jiwani,0,PK,97,25.05,65.92,7.63
205,bilibino,68,RU,67,68.06,-36.28,3.04
206,tura,0,IN,76,25.52,44.23,2.59
207,khandbari,0,NP,47,27.38,20.69,1.7
208,henties bay,0,NA,97,-22.12,63.62,8.63
209,barra patuca,0,HN,81,15.8,79.91,11.65
210,phonhong,40,LA,93,18.5,66.2,2.24
211,olafsvik,40,LA,93,18.5,66.2,2.24
212,alice springs,0,AU,15,-23.7,100.4,14.99
213,margate,75,AU,63,-43.03,66.2,16.11
214,acapulco,20,MX,66,16.86,84.2,4.7
215,staroshcherbinovskaya,92,RU,92,46.63,35.81,8.41
216,ijaki,92,RU,92,46.63,35.81,8.41
217,tiksi,8,RU,0,71.64,-45.96,3.15
218,faya,0,SA,58,18.39,55.4,2.59
219,hamilton,75,BM,72,32.3,62.6,2.24
220,pevek,80,RU,100,69.7,-9.15,17.92
221,sai buri,44,TH,92,6.7,71.23,2.04
222,touros,75,BR,78,-5.2,80.6,10.29
223,gbadolite,88,CD,76,4.28,72.85,2.59
224,sechura,8,PE,72,-5.56,77.66,15.46
225,beringovskiy,88,RU,95,63.05,6.29,29.89
226,svetlogorsk,75,RU,78,53.14,10.4,6.71
227,guerrero negro,92,MX,83,27.97,65.65,5.95
228,fomboni,32,KM,100,-12.28,82.39,3.38
229,evensk,0,RU,100,61.92,-17.88,8.08
230,manokwari,64,ID,100,-0.87,80.32,4.5
231,khatanga,48,RU,66,71.98,-14.82,12.66
232,coquimbo,75,CL,82,-29.95,62.6,11.41
233,iralaya,40,HN,83,15.0,78.8,9.17
234,kaitangata,44,NZ,81,-46.28,72.13,3.71
235,leningradskiy,92,RU,94,69.38,-1.68,24.85
236,broome,92,GB,87,52.47,46.4,13.87
237,sahrak,92,GB,87,52.47,46.4,13.87
238,abu zabad,0,SD,58,12.35,57.41,6.4
239,rio grande,40,BR,100,-32.03,73.4,5.82
240,mbala,92,ZM,99,-8.85,59.21,3.04
241,kieta,20,PG,92,-6.22,84.01,3.6
242,omboue,68,GA,100,-1.57,81.67,5.61
243,attawapiskat,68,GA,100,-1.57,81.67,5.61
244,rundu,32,NA,81,-17.91,70.06,4.5
245,marcona,32,NA,81,-17.91,70.06,4.5
246,ouadda,56,CF,78,8.07,72.44,2.15
247,taber,90,CA,77,49.79,32.0,11.41
248,nea pella,20,GR,47,40.77,35.6,12.75
249,juegang,0,CN,100,32.31,33.79,8.86
250,port elizabeth,1,US,68,39.31,33.98,3.36
251,ahuimanu,40,US,61,21.44,80.96,5.82
252,cidreira,24,BR,90,-30.17,78.02,6.17
253,mount gambier,32,AU,64,-37.83,73.4,5.82
254,novo cruzeiro,8,BR,55,-17.47,79.19,9.19
255,setermoen,88,NO,92,68.86,14.0,10.29
256,tabou,0,CI,99,4.42,83.02,9.64
257,karratha,44,AU,54,-20.74,86.08,4.94
258,ust-omchug,8,RU,0,61.13,-45.78,2.59
259,ryotsu,75,JP,74,38.08,37.4,25.28
260,atakpame,20,TG,74,7.53,75.37,3.94
261,lompoc,90,US,87,34.64,55.94,29.97
262,kruisfontein,100,ZA,94,-34.0,64.79,5.61
263,kapaa,1,US,47,22.08,80.96,6.93
264,nantucket,1,US,63,41.28,28.94,7.63
265,manggar,80,ID,100,-2.88,79.01,7.4
266,stokmarknes,12,NO,100,68.56,22.67,3.38
267,bubaque,0,GW,100,11.28,78.61,9.19
268,marsh harbour,0,BS,100,26.54,71.05,13.44
269,salinopolis,0,BR,100,-0.61,79.37,8.19
270,loiza,40,PR,71,18.43,77.0,9.17
271,ambulu,68,ID,100,-8.35,78.43,6.62
272,pisco,0,PE,30,-13.71,71.6,19.46
273,nome,90,US,60,30.04,51.08,3.6
274,kungurtug,0,RU,35,50.6,-27.91,2.48
275,ponta do sol,36,BR,73,-20.63,72.26,1.81
276,vila franca do campo,40,PT,77,37.72,59.0,4.7
277,port hardy,20,CA,65,50.7,46.4,10.29
278,neepawa,20,CA,64,50.23,1.4,6.93
279,aksha,0,RU,63,50.28,1.61,6.06
280,cherskiy,80,RU,47,68.75,-28.95,3.38
281,abha,0,SA,58,18.22,55.4,1.92
282,eldorado,75,MX,42,24.32,82.4,6.93
283,taoudenni,0,ML,53,22.68,39.41,3.38
284,te anau,44,NZ,45,-45.41,73.3,9.53
285,gat,0,SN,77,14.69,66.2,14.99
286,fauske,40,NO,79,67.26,19.4,21.92
287,itamarandiba,12,BR,51,-17.86,79.19,6.73
288,sakskobing,92,DK,92,54.8,41.71,14.9
289,springdale,90,US,70,36.19,46.94,6.93
290,berdigestyakh,8,RU,86,62.1,-40.2,4.5
291,paoua,0,CF,46,7.24,65.2,8.63
292,andenes,0,CF,46,7.24,65.2,8.63
293,nandigama,0,IN,90,16.78,61.91,2.37
294,okhotsk,68,RU,100,59.36,-9.28,6.4
295,fortuna,75,ES,76,38.18,53.6,2.24
296,beira,75,ES,93,43.2,46.4,2.24
297,xapuri,75,BR,88,-10.65,80.6,2.15
298,sohag,0,EG,36,26.55,46.4,6.93
299,xingcheng,0,CN,38,40.62,7.46,7.52
300,airai,0,TL,78,-8.93,77.57,2.15
301,ancud,90,CL,71,-41.87,55.4,10.29
302,kintampo,12,GH,58,8.05,75.37,3.71
303,hami,24,CN,59,42.84,0.44,2.15
304,juneau,75,US,100,58.3,41.0,3.15
305,yanan,75,US,100,58.3,41.0,3.15
306,barawe,75,US,100,58.3,41.0,3.15
307,saint-francois,0,FR,100,46.42,28.4,4.05
308,podyuga,80,RU,90,61.09,27.4,13.89
309,gweta,56,BW,84,-20.21,70.87,4.5
310,pathein,0,MM,90,16.78,61.33,3.94
311,mount isa,75,AU,41,-20.73,91.4,11.41
312,lunenburg,1,US,62,42.59,30.02,3.36
313,zyryanka,0,RU,77,65.73,-37.59,2.59
314,escanaba,90,US,88,45.75,30.02,17.22
315,chinsali,88,ZM,98,-10.55,62.86,3.04
316,porta westfalica,75,DE,93,52.24,44.6,16.11
317,doha,0,QA,82,25.29,71.6,5.82
318,bengkulu,0,QA,82,25.29,71.6,5.82
319,micheweni,56,TZ,100,-4.97,81.76,4.61
320,port augusta,40,AU,54,-32.49,78.8,10.29
321,vila,0,IT,74,45.18,33.8,8.05
322,santa isabel do rio negro,92,BR,90,-0.41,78.16,3.15
323,havre-saint-pierre,20,CA,65,50.23,6.8,6.93
324,xuddur,8,SO,60,4.12,68.21,10.98
325,verkhnevilyuysk,0,RU,0,63.45,-44.83,4.94
326,labrea,0,RU,0,63.45,-44.83,4.94
327,flin flon,20,CA,69,54.77,-13.01,6.93
328,klaksvik,92,FO,80,62.23,35.6,9.17
329,srandakan,92,ID,100,-7.94,73.16,5.61
330,lixourion,0,GR,100,38.2,47.02,16.02
331,santiago,0,CL,28,-33.44,82.4,6.93
332,bull savanna,100,JM,77,17.89,73.03,1.36
333,madang,0,PG,94,-5.21,81.76,3.38
334,alofi,75,NU,74,-19.06,87.8,9.17
335,esperance,20,TT,78,10.24,78.8,5.82
336,sapao,20,TT,78,10.24,78.8,5.82
337,road town,20,VG,69,18.42,77.0,4.7
338,komsomolskiy,76,RU,84,67.55,10.52,7.74
339,dianopolis,76,RU,84,67.55,10.52,7.74
340,smithers,75,CA,89,54.78,32.0,5.82
341,los llanos de aridane,0,ES,63,28.66,62.6,9.17
342,edd,0,ER,81,13.93,55.52,2.15
343,tymovskoye,88,RU,74,50.85,-0.64,4.61
344,batagay-alyta,8,RU,0,67.8,-62.61,2.71
345,salalah,20,OM,78,17.01,71.6,5.82
346,tongsa,20,OM,78,17.01,71.6,5.82
347,carutapera,8,BR,94,-1.2,77.89,7.07
348,saquarema,40,BR,83,-22.93,78.8,3.36
349,daru,80,SL,54,7.99,80.32,8.3
350,sanming,92,CN,100,26.24,45.49,2.71
351,bambous virieux,40,MU,78,-20.34,78.8,3.36
352,flinders,0,AU,69,-34.58,82.4,3.36
353,karpathos,92,GR,100,35.51,48.2,5.82
354,hihifo,92,GR,100,35.51,48.2,5.82
355,chuy,48,UY,99,-33.69,71.05,10.65
356,nizhneyansk,48,UY,99,-33.69,71.05,10.65
357,ambanja,64,MG,100,-13.68,71.09,2.37
358,sataua,64,MG,100,-13.68,71.09,2.37
359,tremedal,0,BR,83,-14.98,73.4,12.75
360,mount pleasant,75,US,64,33.16,47.66,4.72
361,mirina,75,US,64,33.16,47.66,4.72
362,teguldet,88,RU,87,57.31,13.49,4.05
363,medina,0,SA,64,24.47,68.0,9.17
364,agadez,0,NE,43,16.97,51.11,9.31
365,lolua,0,NE,43,16.97,51.11,9.31
366,ostrovnoy,76,RU,79,68.05,9.76,4.05
367,belfort,0,FR,92,47.64,35.6,1.12
368,redmond,1,US,70,47.67,50.0,2.48
369,normandin,20,CA,83,48.84,-9.41,2.24
370,bushehr,75,IR,72,28.97,64.4,4.16
371,mahadday weyne,75,IR,72,28.97,64.4,4.16
372,sao joao do piaui,68,BR,69,-8.36,76.81,3.6
373,vihti,75,FI,85,60.42,24.8,10.29
374,chardara,75,FI,85,60.42,24.8,10.29
375,victoria,75,BN,94,5.28,78.8,3.36
376,morgan city,1,US,81,29.7,46.04,4.7
377,ulladulla,0,AU,69,-35.36,82.4,3.36
378,cody,75,US,50,44.53,32.0,9.17
379,palmer,0,AU,28,-34.85,86.0,6.93
380,ilulissat,40,GL,77,69.22,5.0,5.82
381,wanning,75,AT,65,48.64,41.0,20.8
382,clyde river,75,CA,73,70.47,-29.21,8.05
383,skjervoy,76,NO,100,70.03,26.41,8.63
384,hasaki,20,JP,75,35.73,41.0,8.05
385,preobrazheniye,0,RU,59,42.9,0.89,2.71
386,lata,0,IN,71,30.78,31.45,2.71
387,verkhoshizhemye,88,RU,91,58.01,27.49,11.99
388,tirumullaivasal,12,IN,83,11.24,75.1,12.55
389,abu dhabi,8,AE,88,24.47,68.0,4.7
390,pemba,75,MZ,88,-12.97,78.8,2.24
391,maniitsoq,80,GL,100,65.42,23.35,16.35
392,yumen,8,CN,49,40.29,-6.45,4.83
393,haverfordwest,92,GB,100,51.8,48.2,26.4
394,yulara,0,AU,14,-25.24,100.4,18.34
395,ingham,44,AU,94,-18.65,80.36,11.77
396,leshukonskoye,92,RU,81,64.9,23.57,5.73
397,oulainen,80,FI,87,64.27,20.83,5.17
398,boca do acre,32,BR,87,-8.76,79.37,2.59
399,clarence town,0,AU,55,-32.59,87.8,17.22
400,saldanha,20,PT,77,41.42,24.97,1.59
401,camocim,88,BR,100,-2.9,72.89,4.38
402,babanusah,88,BR,100,-2.9,72.89,4.38
403,sanger,75,US,76,36.71,60.08,10.29
404,dimapur,0,IN,80,25.91,43.15,2.04
405,katima mulilo,92,NA,67,-17.5,73.21,9.53
406,vreed en hoop,92,NA,67,-17.5,73.21,9.53
407,chushan,36,CN,65,33.3,13.67,2.93
408,uddevalla,32,SE,100,58.35,28.4,2.24
409,nabire,0,ID,84,-3.36,76.0,0.69
410,acarau,0,ID,84,-3.36,76.0,0.69
411,mayo,90,CA,84,63.59,6.8,2.71
412,colac,0,AU,55,-38.34,78.25,1.81
413,antalaha,80,MG,96,-14.9,75.55,3.71
414,rawson,80,AR,17,-43.3,82.57,16.8
415,sale,75,GB,81,53.42,48.2,8.05
416,tuy hoa,92,VN,100,13.08,72.49,12.66
417,celestun,24,MX,100,20.87,73.66,22.28
418,yarmouth,92,GB,93,50.71,46.4,10.29
419,beloha,92,MG,82,-25.17,77.89,2.71
420,muli,0,IN,76,22.62,48.82,4.61
421,yurimaguas,40,PE,83,-5.9,80.6,2.59
422,bacalar,90,MX,83,18.68,75.2,5.82
423,sobolevo,64,RU,88,54.43,21.28,5.06
424,zhigansk,8,RU,0,66.77,-42.81,3.6
425,hirara,75,JP,93,24.8,66.2,8.05
426,inta,88,RU,82,66.04,15.97,4.38
427,vila velha,75,BR,83,-3.71,80.6,5.82
428,calama,0,CL,26,-22.46,69.8,28.86
429,santa cruz,90,US,96,36.97,55.94,3.36
430,tynda,0,RU,36,55.15,-25.71,9.42
431,ganzhou,92,CN,91,25.86,40.18,7.74
432,rio claro,20,BR,78,-22.41,77.0,1.92
433,cairo montenotte,75,IT,62,44.4,51.8,9.17
434,cabo san lucas,75,MX,69,22.89,75.2,10.29
435,kangaatsiaq,56,GL,100,68.31,3.91,8.52
436,victoria falls,20,ZW,73,-17.93,71.77,7.4
437,kutum,0,SD,70,14.2,53.86,6.85
438,santa maria,75,BR,70,-29.69,84.2,10.29
439,kudahuvadhoo,88,MV,100,2.67,77.17,5.61
440,ihosy,80,MG,93,-22.4,66.91,2.93
441,comodoro rivadavia,40,AR,22,-45.87,75.2,26.4
442,fairbanks,1,US,82,64.84,-7.97,3.27
443,labuhan,92,ID,98,-2.54,71.23,0.69
444,chulman,8,RU,53,56.84,-33.0,8.52
445,mach,24,PK,68,29.87,26.81,2.37
446,gorontalo,88,ID,96,0.54,74.92,2.93
447,gushikawa,90,JP,77,26.35,66.2,10.29
448,verkhnyaya inta,88,RU,78,65.99,12.32,3.38
449,pringsewu,64,ID,92,-5.36,74.06,2.59
450,suao,64,ID,92,-5.36,74.06,2.59
451,wahiawa,90,US,56,21.5,80.96,5.82
452,ginir,0,ET,60,7.14,46.21,2.59
453,port lincoln,64,AU,76,-34.72,74.29,8.19
454,bathsheba,40,BB,74,13.22,78.8,13.87
455,qaqortoq,88,GL,80,60.72,30.2,2.24
456,baihar,0,IN,84,22.11,39.73,2.93
457,walvis bay,20,NA,77,-22.95,68.0,16.11
458,dalinghe,20,NA,77,-22.95,68.0,16.11
459,kimitsu,20,JP,61,35.29,46.4,13.87
460,khandyga,12,RU,0,62.65,-49.56,2.71
461,mananjary,88,MG,92,-19.16,59.71,4.38
462,cuamba,48,MZ,96,-14.8,69.07,2.71
463,vardo,1,US,55,39.62,33.8,4.7
464,cayenne,90,GF,78,4.94,80.6,5.82
465,loa janan,64,ID,94,-0.58,77.53,2.82
466,oxkutzcab,0,MX,46,20.3,78.47,5.95
467,port hueneme,90,US,86,34.15,55.94,11.41
468,samusu,90,US,86,34.15,55.94,11.41
469,kalmunai,80,LK,100,7.42,72.71,6.06
470,susanville,90,US,93,40.42,35.6,5.82
471,muroto,75,JP,61,33.37,46.4,11.41
472,grand gaube,40,MU,78,-20.01,78.8,3.36
473,camana,40,MU,78,-20.01,78.8,3.36
474,kargasok,48,RU,87,59.06,13.63,3.15
475,cap malheureux,40,MU,78,-19.98,78.8,3.36
476,kangavar,0,IR,74,34.5,30.2,6.4
477,zholymbet,80,KZ,86,51.74,13.18,5.39
478,uren,80,KZ,86,51.74,13.18,5.39
479,trairi,92,BR,100,-3.28,79.24,15.01
480,sisimiut,80,GL,100,66.94,-5.68,1.7
481,la paz,20,MX,57,24.15,75.2,6.93
482,khilok,0,RU,70,51.36,-0.69,4.72
483,college,1,US,82,64.86,1.04,3.27
484,ixtapa,75,MX,78,20.71,80.6,8.05
485,christchurch,0,NZ,63,-43.53,66.2,14.99
486,juifang,0,NZ,63,-43.53,66.2,14.99
487,rudnichnyy,0,RU,85,59.7,10.3,5.61
488,paamiut,80,GL,100,61.99,29.74,30.78
489,jaguarari,36,BR,53,-10.26,80.68,12.21
490,saleaula,36,BR,53,-10.26,80.68,12.21
491,port blair,24,IN,100,11.67,81.4,16.8
492,yanji,0,CN,42,42.89,8.41,7.29
493,biak,92,ID,93,-0.91,80.05,7.18
494,yuzhnyy,68,RU,88,53.54,16.96,3.94
495,lazaro cardenas,20,MX,51,28.39,62.6,26.4
496,coos bay,90,US,63,43.37,51.98,4.7
497,grindavik,0,IS,74,63.84,32.0,14.99
498,katsuura,75,JP,61,33.93,46.4,13.87
499,olbia,0,IT,100,40.92,33.8,1.12
500,inderborskiy,0,IT,100,40.92,33.8,1.12
501,tumannyy,0,IT,100,40.92,33.8,1.12
502,samarai,44,PG,100,-10.62,83.47,15.35
503,umm ruwabah,44,PG,100,-10.62,83.47,15.35
504,deputatskiy,0,RU,0,69.3,-51.9,2.59
505,yatou,75,CM,94,3.63,80.6,2.24
506,kondopoga,88,RU,92,62.21,19.4,3.71
507,shelburne,90,CA,86,44.08,28.4,10.29
508,vestmanna,92,FO,80,62.16,35.6,9.17
509,candido mendes,36,BR,100,-1.45,80.23,10.87
510,sayyan,0,YE,34,15.17,33.07,1.59
511,huanan,48,CN,54,46.24,3.28,13.44
512,poso,20,ID,100,-1.4,78.34,2.15
513,tazovskiy,68,RU,86,67.47,4.67,10.76
514,bridlington,88,GB,81,54.08,48.2,12.75
515,vestmannaeyjar,0,IS,100,63.44,27.31,18.7
516,auki,0,NG,33,12.18,62.09,9.08
517,isla mujeres,75,MX,64,21.23,75.2,6.93
518,porto novo,40,BR,69,-23.68,78.8,4.7
519,haukipudas,80,FI,92,65.17,17.6,4.7
520,boueni,0,YT,88,-12.9,78.8,2.24
521,makakilo city,40,US,45,21.35,80.96,9.17
522,alfatar,0,BG,79,43.95,18.26,12.44
